__time,__datetime,__type,/hamster2/velocity/data
1677685719.5020208,2023-03-01 16:48:39.502021,std_msgs/Float32,-730.5210571289062
1677685719.5245566,2023-03-01 16:48:39.524557,std_msgs/Float32,-689.9365844726562
1677685719.545816,2023-03-01 16:48:39.545816,std_msgs/Float32,-725.447998046875
1677685719.5668924,2023-03-01 16:48:39.566892,std_msgs/Float32,-682.7880859375
1677685719.5881476,2023-03-01 16:48:39.588148,std_msgs/Float32,-720.3749389648438
1677685719.6078503,2023-03-01 16:48:39.607850,std_msgs/Float32,-692.4730834960938
1677685719.6297874,2023-03-01 16:48:39.629787,std_msgs/Float32,-725.447998046875
1677685719.6534717,2023-03-01 16:48:39.653472,std_msgs/Float32,-679.7904052734375
1677685719.6734955,2023-03-01 16:48:39.673496,std_msgs/Float32,-720.3749389648438
1677685719.6929388,2023-03-01 16:48:39.692939,std_msgs/Float32,-692.4730834960938
1677685719.7158895,2023-03-01 16:48:39.715889,std_msgs/Float32,-730.5210571289062
1677685719.736984,2023-03-01 16:48:39.736984,std_msgs/Float32,-697.3155517578125
1677685719.7578056,2023-03-01 16:48:39.757806,std_msgs/Float32,-720.3749389648438
1677685719.7812183,2023-03-01 16:48:39.781218,std_msgs/Float32,-695.0095825195312
1677685719.8029063,2023-03-01 16:48:39.802906,std_msgs/Float32,-705.15576171875
1677685719.822049,2023-03-01 16:48:39.822049,std_msgs/Float32,-697.3155517578125
1677685719.8439872,2023-03-01 16:48:39.843987,std_msgs/Float32,-730.5210571289062
1677685719.8637972,2023-03-01 16:48:39.863797,std_msgs/Float32,-687.630615234375
1677685719.8854628,2023-03-01 16:48:39.885463,std_msgs/Float32,-710.2288208007812
1677685719.91023,2023-03-01 16:48:39.910230,std_msgs/Float32,-674.7173461914062
1677685719.9271262,2023-03-01 16:48:39.927126,std_msgs/Float32,-720.3749389648438
1677685719.9486136,2023-03-01 16:48:39.948614,std_msgs/Float32,-692.4730834960938
1677685719.9708405,2023-03-01 16:48:39.970840,std_msgs/Float32,-715.3018188476562
1677685719.9915988,2023-03-01 16:48:39.991599,std_msgs/Float32,-677.9456787109375
1677685720.0131047,2023-03-01 16:48:40.013105,std_msgs/Float32,-710.2288208007812
1677685720.0340989,2023-03-01 16:48:40.034099,std_msgs/Float32,-684.8634643554688
1677685720.05664,2023-03-01 16:48:40.056640,std_msgs/Float32,-725.447998046875
1677685720.0770206,2023-03-01 16:48:40.077021,std_msgs/Float32,-697.3155517578125
1677685720.0979671,2023-03-01 16:48:40.097967,std_msgs/Float32,-715.3018188476562
1677685720.1208427,2023-03-01 16:48:40.120843,std_msgs/Float32,-687.630615234375
1677685720.1436176,2023-03-01 16:48:40.143618,std_msgs/Float32,-725.447998046875
1677685720.1658525,2023-03-01 16:48:40.165853,std_msgs/Float32,-695.0095825195312
1677685720.1829178,2023-03-01 16:48:40.182918,std_msgs/Float32,-720.3749389648438
1677685720.2075005,2023-03-01 16:48:40.207500,std_msgs/Float32,-682.7880859375
1677685720.226567,2023-03-01 16:48:40.226567,std_msgs/Float32,-705.15576171875
1677685720.247418,2023-03-01 16:48:40.247418,std_msgs/Float32,-687.630615234375
1677685720.2707117,2023-03-01 16:48:40.270712,std_msgs/Float32,-720.3749389648438
1677685720.2897978,2023-03-01 16:48:40.289798,std_msgs/Float32,-679.7904052734375
1677685720.3112106,2023-03-01 16:48:40.311211,std_msgs/Float32,-710.2288208007812
1677685720.332728,2023-03-01 16:48:40.332728,std_msgs/Float32,-673.1032104492188
1677685720.3543417,2023-03-01 16:48:40.354342,std_msgs/Float32,-720.3749389648438
1677685720.3755443,2023-03-01 16:48:40.375544,std_msgs/Float32,-697.3155517578125
1677685720.3984644,2023-03-01 16:48:40.398464,std_msgs/Float32,-730.5210571289062
1677685720.4174695,2023-03-01 16:48:40.417470,std_msgs/Float32,-684.8634643554688
1677685720.438768,2023-03-01 16:48:40.438768,std_msgs/Float32,-720.3749389648438
1677685720.4606369,2023-03-01 16:48:40.460637,std_msgs/Float32,-682.7880859375
1677685720.4880824,2023-03-01 16:48:40.488082,std_msgs/Float32,-720.3749389648438
1677685720.5055127,2023-03-01 16:48:40.505513,std_msgs/Float32,-687.630615234375
1677685720.5248058,2023-03-01 16:48:40.524806,std_msgs/Float32,-720.3749389648438
1677685720.546864,2023-03-01 16:48:40.546864,std_msgs/Float32,-669.644287109375
1677685720.5667665,2023-03-01 16:48:40.566767,std_msgs/Float32,-715.3018188476562
1677685720.5886693,2023-03-01 16:48:40.588669,std_msgs/Float32,-692.4730834960938
1677685720.6103525,2023-03-01 16:48:40.610353,std_msgs/Float32,-725.447998046875
1677685720.6314142,2023-03-01 16:48:40.631414,std_msgs/Float32,-697.3155517578125
1677685720.652919,2023-03-01 16:48:40.652919,std_msgs/Float32,-725.447998046875
1677685720.6764836,2023-03-01 16:48:40.676484,std_msgs/Float32,-684.8634643554688
1677685720.695397,2023-03-01 16:48:40.695397,std_msgs/Float32,-730.5210571289062
1677685720.71604,2023-03-01 16:48:40.716040,std_msgs/Float32,-702.1580200195312
1677685720.7379224,2023-03-01 16:48:40.737922,std_msgs/Float32,-725.447998046875
1677685720.7603009,2023-03-01 16:48:40.760301,std_msgs/Float32,-687.630615234375
1677685720.7828822,2023-03-01 16:48:40.782882,std_msgs/Float32,-705.15576171875
1677685720.8032393,2023-03-01 16:48:40.803239,std_msgs/Float32,-684.8634643554688
1677685720.824591,2023-03-01 16:48:40.824591,std_msgs/Float32,-730.5210571289062
1677685720.8455682,2023-03-01 16:48:40.845568,std_msgs/Float32,-687.630615234375
1677685720.867399,2023-03-01 16:48:40.867399,std_msgs/Float32,-715.3018188476562
1677685720.8871675,2023-03-01 16:48:40.887167,std_msgs/Float32,-682.7880859375
1677685720.915201,2023-03-01 16:48:40.915201,std_msgs/Float32,-715.3018188476562
1677685720.928738,2023-03-01 16:48:40.928738,std_msgs/Float32,-684.8634643554688
1677685720.9510047,2023-03-01 16:48:40.951005,std_msgs/Float32,-730.5210571289062
1677685720.9730284,2023-03-01 16:48:40.973028,std_msgs/Float32,-692.4730834960938
1677685720.993213,2023-03-01 16:48:40.993213,std_msgs/Float32,-700.0826416015625
1677685721.014823,2023-03-01 16:48:41.014823,std_msgs/Float32,-682.7880859375
1677685721.0380933,2023-03-01 16:48:41.038093,std_msgs/Float32,-725.447998046875
1677685721.057404,2023-03-01 16:48:41.057404,std_msgs/Float32,-684.8634643554688
1677685721.0794985,2023-03-01 16:48:41.079499,std_msgs/Float32,-710.2288208007812
1677685721.0999372,2023-03-01 16:48:41.099937,std_msgs/Float32,-673.1032104492188
1677685721.1212618,2023-03-01 16:48:41.121262,std_msgs/Float32,-705.15576171875
1677685721.143059,2023-03-01 16:48:41.143059,std_msgs/Float32,-687.630615234375
1677685721.1678805,2023-03-01 16:48:41.167881,std_msgs/Float32,-720.3749389648438
1677685721.1867628,2023-03-01 16:48:41.186763,std_msgs/Float32,-679.7904052734375
1677685721.2063031,2023-03-01 16:48:41.206303,std_msgs/Float32,-715.3018188476562
1677685721.2321908,2023-03-01 16:48:41.232191,std_msgs/Float32,-673.1032104492188
1677685721.249061,2023-03-01 16:48:41.249061,std_msgs/Float32,-720.3749389648438
1677685721.2709792,2023-03-01 16:48:41.270979,std_msgs/Float32,-692.4730834960938
1677685721.2921531,2023-03-01 16:48:41.292153,std_msgs/Float32,-725.447998046875
1677685721.3221784,2023-03-01 16:48:41.322178,std_msgs/Float32,-679.7904052734375
1677685721.3348248,2023-03-01 16:48:41.334825,std_msgs/Float32,-720.3749389648438
1677685721.3555362,2023-03-01 16:48:41.355536,std_msgs/Float32,-692.4730834960938
1677685721.3769116,2023-03-01 16:48:41.376912,std_msgs/Float32,-725.447998046875
1677685721.399447,2023-03-01 16:48:41.399447,std_msgs/Float32,-692.4730834960938
1677685721.4203918,2023-03-01 16:48:41.420392,std_msgs/Float32,-725.447998046875
1677685721.4413533,2023-03-01 16:48:41.441353,std_msgs/Float32,-674.7173461914062
1677685721.4623115,2023-03-01 16:48:41.462312,std_msgs/Float32,-720.3749389648438
1677685721.4832685,2023-03-01 16:48:41.483268,std_msgs/Float32,-702.1580200195312
1677685721.5061975,2023-03-01 16:48:41.506197,std_msgs/Float32,-720.3749389648438
1677685721.5264146,2023-03-01 16:48:41.526415,std_msgs/Float32,-682.7880859375
1677685721.547809,2023-03-01 16:48:41.547809,std_msgs/Float32,-715.3018188476562
1677685721.5683591,2023-03-01 16:48:41.568359,std_msgs/Float32,-684.8634643554688
1677685721.5904038,2023-03-01 16:48:41.590404,std_msgs/Float32,-725.447998046875
1677685721.6111827,2023-03-01 16:48:41.611183,std_msgs/Float32,-692.4730834960938
1677685721.6327038,2023-03-01 16:48:41.632704,std_msgs/Float32,-720.3749389648438
1677685721.654351,2023-03-01 16:48:41.654351,std_msgs/Float32,-673.1032104492188
1677685721.6757941,2023-03-01 16:48:41.675794,std_msgs/Float32,-705.15576171875
1677685721.6962175,2023-03-01 16:48:41.696218,std_msgs/Float32,-679.7904052734375
1677685721.7176087,2023-03-01 16:48:41.717609,std_msgs/Float32,-715.3018188476562
1677685721.739831,2023-03-01 16:48:41.739831,std_msgs/Float32,-682.7880859375
1677685721.7607114,2023-03-01 16:48:41.760711,std_msgs/Float32,-705.15576171875
1677685721.7820194,2023-03-01 16:48:41.782019,std_msgs/Float32,-677.9456787109375
1677685721.8043382,2023-03-01 16:48:41.804338,std_msgs/Float32,-715.3018188476562
1677685721.8258874,2023-03-01 16:48:41.825887,std_msgs/Float32,-689.9365844726562
1677685721.8456068,2023-03-01 16:48:41.845607,std_msgs/Float32,-725.447998046875
1677685721.867053,2023-03-01 16:48:41.867053,std_msgs/Float32,-687.630615234375
1677685721.888785,2023-03-01 16:48:41.888785,std_msgs/Float32,-715.3018188476562
1677685721.9100406,2023-03-01 16:48:41.910041,std_msgs/Float32,-692.4730834960938
1677685721.9315023,2023-03-01 16:48:41.931502,std_msgs/Float32,-730.5210571289062
1677685721.9518688,2023-03-01 16:48:41.951869,std_msgs/Float32,-695.0095825195312
1677685721.9734166,2023-03-01 16:48:41.973417,std_msgs/Float32,-715.3018188476562
1677685721.9948397,2023-03-01 16:48:41.994840,std_msgs/Float32,-668.2606811523438
1677685722.0170465,2023-03-01 16:48:42.017046,std_msgs/Float32,-710.2288208007812
1677685722.0396998,2023-03-01 16:48:42.039700,std_msgs/Float32,-687.630615234375
1677685722.0596948,2023-03-01 16:48:42.059695,std_msgs/Float32,-720.3749389648438
1677685722.080507,2023-03-01 16:48:42.080507,std_msgs/Float32,-684.8634643554688
1677685722.1021404,2023-03-01 16:48:42.102140,std_msgs/Float32,-710.2288208007812
1677685722.1229804,2023-03-01 16:48:42.122980,std_msgs/Float32,-677.9456787109375
1677685722.1444967,2023-03-01 16:48:42.144497,std_msgs/Float32,-715.3018188476562
1677685722.1658385,2023-03-01 16:48:42.165838,std_msgs/Float32,-687.630615234375
1677685722.1897128,2023-03-01 16:48:42.189713,std_msgs/Float32,-725.447998046875
1677685722.2076688,2023-03-01 16:48:42.207669,std_msgs/Float32,-679.7904052734375
1677685722.2292705,2023-03-01 16:48:42.229270,std_msgs/Float32,-715.3018188476562
1677685722.2505648,2023-03-01 16:48:42.250565,std_msgs/Float32,-692.4730834960938
1677685722.272178,2023-03-01 16:48:42.272178,std_msgs/Float32,-720.3749389648438
1677685722.2940154,2023-03-01 16:48:42.294015,std_msgs/Float32,-677.9456787109375
1677685722.317374,2023-03-01 16:48:42.317374,std_msgs/Float32,-700.0826416015625
1677685722.3357525,2023-03-01 16:48:42.335752,std_msgs/Float32,-674.7173461914062
1677685722.3591201,2023-03-01 16:48:42.359120,std_msgs/Float32,-720.3749389648438
1677685722.3789425,2023-03-01 16:48:42.378942,std_msgs/Float32,-687.630615234375
1677685722.4003952,2023-03-01 16:48:42.400395,std_msgs/Float32,-720.3749389648438
1677685722.4215758,2023-03-01 16:48:42.421576,std_msgs/Float32,-673.1032104492188
1677685722.4432592,2023-03-01 16:48:42.443259,std_msgs/Float32,-695.0095825195312
1677685722.4640024,2023-03-01 16:48:42.464002,std_msgs/Float32,-684.8634643554688
