__time,__datetime,__type,/tf/transforms.0.header.stamp,/tf/transforms.0.header.frame_id,/tf/transforms.0.child_frame_id,/tf/transforms.0.transform.translation.x,/tf/transforms.0.transform.translation.y,/tf/transforms.0.transform.translation.z,/tf/transforms.0.transform.rotation.x,/tf/transforms.0.transform.rotation.y,/tf/transforms.0.transform.rotation.z,/tf/transforms.0.transform.rotation.w
1677685726.730504,2023-03-01 16:48:46.730504,tf2_msgs/TFMessage,1682356766.0416644,world,hamster2/base_link,2.286250114440918,-0.7208423018455505,0.15606825053691864,-0.003590228268876672,-0.01561350841075182,0.9402881264686584,0.3400024473667145
1677685726.7335863,2023-03-01 16:48:46.733586,tf2_msgs/TFMessage,1682356766.0568967,world,hamster2/base_link,2.27492618560791,-0.7144433259963989,0.15583249926567078,-0.004262198228389025,-0.014840085059404373,0.9440291523933411,0.3295004963874817
1677685726.7828867,2023-03-01 16:48:46.782887,tf2_msgs/TFMessage,1682356766.092152,world,hamster2/base_link,2.252235174179077,-0.7020366191864014,0.15579383075237274,-0.0025942125357687473,-0.013446664437651634,0.9517382383346558,0.30660536885261536
1677685726.7831671,2023-03-01 16:48:46.783167,tf2_msgs/TFMessage,1682356766.096043,world,hamster2/base_link,2.2463412284851074,-0.6990458965301514,0.15565122663974762,-0.003082460956647992,-0.012981175445020199,0.9536640644073486,0.30057770013809204
1677685726.8799691,2023-03-01 16:48:46.879969,tf2_msgs/TFMessage,1682356766.1710439,world,hamster2/base_link,2.193281650543213,-0.677789032459259,0.1561293751001358,-0.002240042667835951,-0.015383322723209858,0.9681047201156616,0.2500632703304291
1677685726.89801,2023-03-01 16:48:46.898010,tf2_msgs/TFMessage,1682356766.191945,world,hamster2/base_link,2.1816515922546387,-0.6733081936836243,0.15596136450767517,0.00020647999190259725,-0.014418544247746468,0.9709110260009766,0.23900620639324188
1677685726.8992944,2023-03-01 16:48:46.899294,tf2_msgs/TFMessage,1682356766.1974328,world,hamster2/base_link,2.1758298873901367,-0.6711459159851074,0.15592609345912933,0.00175989861600101,-0.013214188627898693,0.9723154902458191,0.23329149186611176
1677685727.0502186,2023-03-01 16:48:47.050219,tf2_msgs/TFMessage,1682356766.2301931,world,hamster2/base_link,2.1510508060455322,-0.6637033224105835,0.15587611496448517,-0.001086949952878058,-0.013658810406923294,0.9772328734397888,0.21172672510147095
1677685727.0573735,2023-03-01 16:48:47.057374,tf2_msgs/TFMessage,1682356766.2628803,world,hamster2/base_link,2.1264967918395996,-0.6573398113250732,0.15636688470840454,-0.0009685058030299842,-0.012588761746883392,0.9819629788398743,0.18865157663822174
1677685727.2903159,2023-03-01 16:48:47.290316,tf2_msgs/TFMessage,1682356766.4961164,world,hamster2/base_link,1.9499702453613281,-0.645751416683197,0.15527407824993134,-0.0011168551864102483,-0.011929124593734741,0.9993086457252502,0.035195134580135345
1677685727.454345,2023-03-01 16:48:47.454345,tf2_msgs/TFMessage,1682356766.6391742,world,hamster2/base_link,1.8450183868408203,-0.6642770767211914,0.15554356575012207,0.002676619216799736,-0.006902862805873156,0.9982237219810486,-0.05911598727107048
1677685727.4563148,2023-03-01 16:48:47.456315,tf2_msgs/TFMessage,1682356766.6459725,world,hamster2/base_link,1.8391315937042236,-0.6665127277374268,0.1556275635957718,0.0027492025401443243,-0.008558450266718864,0.9979038238525391,-0.06408771127462387
1677685727.4660757,2023-03-01 16:48:47.466076,tf2_msgs/TFMessage,1682356766.680165,world,hamster2/base_link,1.8153713941574097,-0.6751788854598999,0.1545533835887909,0.0029030260629951954,-0.010579240508377552,0.9962329864501953,-0.08602125197649002
1677685727.5375092,2023-03-01 16:48:47.537509,tf2_msgs/TFMessage,1682356766.7298,world,hamster2/base_link,1.7792338132858276,-0.688486635684967,0.15461184084415436,0.002052441006526351,-0.014647894538939,0.9924055337905884,-0.1221170723438263
1677685727.5401714,2023-03-01 16:48:47.540171,tf2_msgs/TFMessage,1682356766.7371676,world,hamster2/base_link,1.7731239795684814,-0.6909888386726379,0.15433381497859955,0.0018648008117452264,-0.01223366055637598,0.9916993379592896,-0.12798216938972473
1677685727.575559,2023-03-01 16:48:47.575559,tf2_msgs/TFMessage,1682356766.7624898,world,hamster2/base_link,1.7562528848648071,-0.6992838978767395,0.15436743199825287,0.0025451015681028366,-0.009975263848900795,0.989508330821991,-0.14410904049873352
1677685727.782003,2023-03-01 16:48:47.782003,tf2_msgs/TFMessage,1682356766.81301,world,hamster2/base_link,1.7229793071746826,-0.7163589000701904,0.1544295996427536,0.0013470499543473125,-0.01140335202217102,0.9845401644706726,-0.17478211224079132
1677685727.782553,2023-03-01 16:48:47.782553,tf2_msgs/TFMessage,1682356766.825343,world,hamster2/base_link,1.7174079418182373,-0.7190221548080444,0.15435248613357544,0.002358018886297941,-0.009712395258247852,0.983672559261322,-0.1796901822090149
1677685727.860915,2023-03-01 16:48:47.860915,tf2_msgs/TFMessage,1682356766.8955095,world,hamster2/base_link,1.6694809198379517,-0.7498180866241455,0.15481488406658173,0.0007875487790443003,-0.01187557727098465,0.9734801650047302,-0.22846192121505737
1677685727.9145596,2023-03-01 16:48:47.914560,tf2_msgs/TFMessage,1682356766.9265325,world,hamster2/base_link,1.6545346975326538,-0.7608639001846313,0.15512380003929138,0.0065863230265676975,-0.012012738734483719,0.969206690788269,-0.2458672821521759
1677685727.9148824,2023-03-01 16:48:47.914882,tf2_msgs/TFMessage,1682356766.9290755,world,hamster2/base_link,1.6492425203323364,-0.7644358277320862,0.1548488289117813,0.0019456102745607495,-0.0064413882791996,0.9678982496261597,-0.25125235319137573
1677685727.9209063,2023-03-01 16:48:47.920906,tf2_msgs/TFMessage,1682356766.9414866,world,hamster2/base_link,1.6446809768676758,-0.7683798670768738,0.15433622896671295,0.004951041657477617,-0.01150326058268547,0.9664577841758728,-0.25652000308036804
