,rt_seq,time,sensor.type,U.a_z,U.w_y,velocity,tf.x,tf.y,tf.yaw_z,x,y,theta,v,rt_x,rt_y,rt_theta,rt_v,P11,P12,P13,P14,P21,P22,P23,P24,P31,P32,P33,P34,P41,P42,P43,P44,t_com
1816,1815.0,1677685715.816335,imu,-0.6236928446388451,-1.4998817773574407,,,,,2.290050183444649,-1.032216341826945,2.488284455773897,0.6745403301707509,2.2946487645276132,-1.0307521021947788,2.4873646564963305,0.674506445456262,0.0554254817876897,-2.186528238843972e-05,0.0,-0.0007892357576024386,-2.186528238843972e-05,0.05541832439825785,0.0,0.0006500784842145333,0.0,0.0,0.05539971423192631,0.0,-0.0007892357576024386,0.0006500784842145335,0.0,0.03952923032509086,5.624599998554913e-05
1817,1816.0,1677685715.8213315,imu,-0.29760269385174265,-1.4770884853563655,,,,,2.2873724063114977,-1.030182525566398,2.495778672313299,0.6714240250710022,2.2873724063114977,-1.030182525566398,2.495778672313299,0.6714240250710022,0.06042884168802614,-2.7248276577777408e-05,0.0,-0.0009548103236787649,-2.7248276577777405e-05,0.06041910428042089,0.0,0.000775824576163957,0.0,0.0,0.06039625239415775,0.0,-0.0009548103236787649,0.0007758245761639572,0.0,0.04452576848732231,0.00033946500025194837
1818,1818.0,1677685715.82633,imu,-0.29760269385174265,-1.49670332801057,,,,,2.2846877576127156,-1.0281748106829025,2.503161818622077,0.6699364742218978,2.2846877576127156,-1.0281748106829025,2.503161818622077,0.6699364742218978,0.06543554542265917,-3.36717598799038e-05,0.0,-0.0011413829054004114,-3.36717598799038e-05,0.06542253873799991,0.0,0.0009153429114578962,0.0,0.0,0.065394697905022,0.0,-0.0011413829054004114,0.0009153429114578964,0.0,0.049524213998186566,5.781399977422552e-05
1819,1819.0,1677685715.8313267,imu,-0.29760269385174265,-1.4354194683436687,,,,,2.2819951499441413,-1.0261921706739978,2.5106405107599015,0.6684494200508733,2.2819951499441413,-1.0261921706739978,2.5106405107599015,0.6684494200508733,0.07044219513141603,-4.12433861849919e-05,0.0,-0.001349033771833557,-4.12433861849919e-05,0.07042511271600668,0.0,0.001068231767405563,0.0,0.0,0.07039147448583255,0.0,-0.001349033771833557,0.0010682317674055634,0.0,0.05452099057899711,5.6195000070147216e-05
1820,1820.0,1677685715.8363247,imu,-0.3170132060480271,-1.378481812909409,,,,,2.2792934602241637,-1.024233205764863,2.5178146922963105,0.6669620111097917,2.2792934602241637,-1.024233205764863,2.5178146922963105,0.6669620111097917,0.07545184474837835,-5.0077896745056516e-05,0.0,-0.001578068972515199,-5.0077896745056516e-05,0.07542975169760899,0.0,0.0012342929334114958,0.0,0.0,0.0753894431595386,0.0,-0.001578068972515199,0.0012342929334114962,0.0,0.05951895925270317,5.592499928752659e-05
1821,1821.0,1677685715.8365269,vel,,,0.7305210571289062,,,,2.2785515004761505,-1.023659990515147,2.518093392308838,0.6906871690588801,2.2785515004761505,-1.023659990515147,2.518093392308838,0.6906871690588801,0.07563875757151586,-3.812719943369776e-05,0.0,-0.0009941395996414931,-3.812719943369777e-05,0.07562257536755014,0.0,0.000777186012055126,0.0,0.0,0.07559162211461673,0.0,-0.0009941395996414931,0.0007771860120551262,0.0,0.03739087942767478,7.095999990269775e-05
1822,1822.0,1677685715.8413224,imu,-0.3170132060480271,-1.3859264326500862,,,,,2.2758590982418694,-1.0217370668454018,2.5247039725588296,0.6891669159664838,2.2758590982418694,-1.0217370668454018,2.5247039725588296,0.6891669159664838,0.08044256060133906,-4.428294805375702e-05,0.0,-0.001147856920994332,-4.428294805375703e-05,0.08042271048405758,0.0,0.0008869634277404618,0.0,0.0,0.08038717341466556,0.0,-0.001147856920994332,0.000886963427740462,0.0,0.04218643072772361,5.752499964728486e-05
1823,1823.0,1677685715.8463194,imu,-0.11654069214088425,-1.3274880846592103,,,,,2.273046432815633,-1.0197568587830241,2.5316294677308324,0.6875827962208573,2.273046432815633,-1.0197568587830241,2.5316294677308324,0.6875827962208573,0.0854495632889045,-5.163699651158109e-05,0.0,-0.0013287402172194812,-5.1636996511581096e-05,0.08542512994534178,0.0,0.001014301987909796,0.0,0.0,0.0853841884140552,0.0,-0.0013287402172194812,0.0010143019879097965,0.0,0.047183445727113256,5.597499966825126e-05
1824,1824.0,1677685715.8513174,imu,-0.3419968824310298,-1.2838841055973904,,,,,2.2702243127607913,-1.0177984808828267,2.5382642115926775,0.6870003294923251,2.2702243127607913,-1.0177984808828267,2.5382642115926775,0.6870003294923251,0.09045912769438388,-6.006276871431773e-05,0.0,-0.0015310373782765675,-6.006276871431773e-05,0.09042920862192988,0.0,0.001154675240809009,0.0,0.0,0.09038215708776126,0.0,-0.0015310373782765675,0.0011546752408090094,0.0,0.05218141440081931,5.667200002790196e-05
1825,1826.0,1677685715.8563142,imu,-0.3419968824310298,-1.297617230430677,,,,,2.267394876298863,-1.0158622519041558,2.5446794936240016,0.6852914474794836,,,,,0.09546929163254587,-6.966534555454305e-05,0.0,-0.00175480551313508,-6.966534555454305e-05,0.09543285845107387,0.0,0.001307794857929213,0.0,0.0,0.09537893366857181,0.0,-0.00175480551313508,0.0013077948579292135,0.0,0.05717819098162986,7.08860006852774e-05
1826,1825.0,1677685715.8571508,vel,,,0.7021580200195312,,,,2.266725811572286,-1.0153954198145516,2.5457650942055476,0.69130290351736,2.266725811572286,-1.0153954198145516,2.5457650942055476,0.69130290351736,0.09628797254914327,-5.625065918475177e-05,0.0,-0.0011357323754115209,-5.625065918475177e-05,0.09625943292047978,0.0,0.0008447470152930062,0.0,0.0,0.09621554446263919,0.0,-0.001135732375411521,0.0008447470152930065,0.0,0.036714789452477706,0.00012209399938001297
1827,1827.0,1677685715.8613122,imu,-0.3716628885334576,-1.2995774449279311,,,,,2.2643428729587174,-1.013789089752438,2.5511649438921555,0.6898797320958437,2.2643428729587174,-1.013789089752438,2.5511649438921555,0.6898797320958437,0.10045754484696234,-6.206122439536865e-05,0.0,-0.0012684048048537896,-6.206122439536865e-05,0.10042489188094801,0.0,0.0009341761291512184,0.0,0.0,0.10037690234227786,0.0,-0.0012684048048537898,0.0009341761291512187,0.0,0.04087614733211638,5.782799962616991e-05
1828,1828.0,1677685715.8663092,imu,-0.3716628885334576,-1.2542056097567018,,,,,2.2614768133716576,-1.0118817780109215,2.557658951877329,0.6880225270671255,2.2614768133716576,-1.0118817780109215,2.557658951877329,0.6880225270671255,0.10546572394848595,-6.986569940282661e-05,0.0,-0.0014471164203526642,-6.986569940282661e-05,0.10542735014969046,0.0,0.001053097042538613,0.0,0.0,0.10537391734166751,0.0,-0.0014471164203526644,0.0010530970425386133,0.0,0.045873162331506026,5.6054999731713906e-05
1829,1829.0,1677685715.871307,imu,-0.5730515650070501,-1.3074353692601162,,,,,2.2586059894280153,-1.0099976163262878,2.5639271331993605,0.6861650562043939,2.2586059894280153,-1.0099976163262878,2.5639271331993605,0.6861650562043939,0.11047623584626767,-7.868649212454485e-05,0.0,-0.0016474886745113625,-7.868649212454485e-05,0.11043115315464035,0.0,0.0011845959321992688,0.0,0.0,0.11037164759679446,0.0,-0.0016474886745113627,0.001184595932199269,0.0,0.05087089258663298,5.5728999541315716e-05
1830,1830.0,1677685715.876304,imu,-0.5730515650070501,-1.3032389086722453,,,,,2.2557334814820362,-1.0081385421272897,2.5704604073502857,0.68330150893863,2.2557334814820362,-1.0081385421272897,2.5704604073502857,0.68330150893863,0.11548784128281332,-8.862614372944088e-05,0.0,-0.0018696344693422168,-8.862614372944088e-05,0.1154349225664845,0.0,0.0013283588752406276,0.0,0.0,0.11536866259618411,0.0,-0.001869634469342217,0.0013283588752406278,0.0,0.05586790758602263,5.486900045070797e-05
1831,1831.0,1677685715.8778682,vel,,,0.7305210571289062,,,,2.254240095880281,-1.0071414554376308,2.5724990174462157,0.6999580840603276,2.254240095880281,-1.0071414554376308,2.5724990174462157,0.6999580840603276,0.11703310466634731,-7.501350456485617e-05,0.0,-0.0012348575729638719,-7.501350456485617e-05,0.11698943538256472,0.0,0.0008740760429628554,0.0,0.0,0.11693292689366946,0.0,-0.0012348575729638719,0.0008740760429628554,0.0,0.036480581571348036,6.998800017754547e-05
