__time,/hamster2/imu/header.stamp,/hamster2/command/drive.steering_angle,/hamster2/command/drive.speed,/hamster2/imu/angular_velocity.x,/hamster2/imu/angular_velocity.y,/hamster2/imu/angular_velocity.z,/hamster2/imu/linear_acceleration.x,/hamster2/imu/linear_acceleration.y,/hamster2/imu/linear_acceleration.z
1677685733.247532,1677685733.2440858,35.00336304,0.707043242,-0.160570294,-1.4486233,0.16406095,1.010084867,-7.109820843,-0.264779538
1677685733.250552,1677685733.249084,36.57971344,0.706616569,-0.197222203,-1.415462017,0.059341192,1.010084867,-7.109820843,-0.264779538
1677685733.2549973,1677685733.2540812,38.15606385,0.706189895,-0.219911486,-1.335176826,0.111701071,1.098344803,-7.776673317,0.343232751
1677685733.259726,1677685733.258702,39.73241425,0.705763221,-0.219038822,-1.332558871,0.079412481,1.098344803,-7.776673317,0.343232751
1677685733.2603843,1677685733.2590797,39.04221115,0.705763221,-0.218166158,-1.329940915,0.04712389,1.098344803,-7.776673317,0.343232751
1677685733.2648938,1677685733.264078,38.35200806,0.705763221,-0.102974422,-1.359611511,0.040142573,-1.569063902,-10.3950491,0.50994581
1677685733.27114,1677685733.2690752,37.66180496,0.705763221,-0.027925268,-1.314232945,0.143116996,-1.569063902,-10.3950491,0.50994581
1677685733.275169,1677685733.2740736,36.97160187,0.705763221,0.048869219,-1.342158198,0.095993109,-1.569063902,-11.93469238,0.470719188
1677685733.279359,1677685733.2787163,36.28139877,0.705763221,0.147480322,-1.32208693,0.135263015,-1.569063902,-11.93469238,0.470719188
1677685733.2802467,1677685733.2790706,36.07201385,0.705763221,0.246091425,-1.302015662,0.17453292,-1.569063902,-11.93469238,0.470719188
1677685733.2858198,1677685733.284069,35.86262893,0.705763221,0.263544708,-1.260127664,0.225147471,-0.804145277,-11.61107349,0.500139117
1677685733.2909997,1677685733.2890666,35.65324402,0.705763221,0.314159274,-1.261873007,0.16406095,-0.804145277,-11.61107349,0.500139117
1677685733.2953136,1677685733.2940643,35.4438591,0.705763221,0.315904588,-1.228711843,0.251327395,-0.833565235,-9.375157356,0.44129923
1677685733.299615,1677685733.2986991,35.23447418,0.705763221,0.224274807,-1.275835692,0.20507618,-0.833565235,-9.375157356,0.44129923
1677685733.3002815,1677685733.299063,35.23447418,0.705763221,0.132645026,-1.322959542,0.158824965,-0.833565235,-9.375157356,0.44129923
1677685733.3053272,1677685733.3040605,35.23447418,0.705763221,-0.08726646,-1.315978289,0.191986218,-0.666852176,-7.070594311,0.049033247
1677685733.309958,1677685733.309059,35.23447418,0.705763221,-0.202458188,-1.373574138,0.20071286,-0.666852176,-7.070594311,0.049033247
1677685733.3150542,1677685733.314056,35.23447418,0.705763221,-0.387463093,-1.418952703,0.15358898,-0.568785667,-8.639657974,-0.264779538
1677685733.319407,1677685733.3187222,35.23447418,0.705763221,-0.376991123,-1.418080032,0.205948859,-0.568785667,-8.639657974,-0.264779538
1677685733.320135,1677685733.319054,35.23447418,0.705763221,-0.366519153,-1.41720736,0.258308738,-0.568785667,-8.639657974,-0.264779538
1677685733.3249629,1677685733.3240514,35.23447418,0.705763221,-0.258308738,-1.424188614,0.225147471,-0.81395191,-12.29753876,0.1372931
1677685733.3301685,1677685733.3290498,35.23447418,0.705763221,-0.085521132,-1.44338727,0.218166158,-0.81395191,-12.29753876,0.1372931
1677685733.335042,1677685733.3340473,35.23447418,0.705763221,0.099483766,-1.445132613,0.261799395,-1.382737637,-13.01342392,0.313812792
