__time,/hamster2/imu/header.stamp,/hamster2/command/drive.steering_angle,/hamster2/command/drive.speed,/hamster2/imu/angular_velocity.x,/hamster2/imu/angular_velocity.y,/hamster2/imu/angular_velocity.z,/hamster2/imu/linear_acceleration.x,/hamster2/imu/linear_acceleration.y,/hamster2/imu/linear_acceleration.z
1677685712.1629071,1677685712.1625419,,,0.459021598,-1.418952703,0.404916376,-2.951801538,-12.81729126,0.30400613
1677685712.169337,1677685712.1675403,,,0.445058942,-1.384046078,0.408407032,-1.52983737,-6.737168312,0.058839899
1677685712.1727605,1677685712.1725376,,,0.352556497,-1.424188614,0.223402143,-1.52983737,-6.737168312,0.058839899
1677685712.1786547,1677685712.1775362,,,0.188495561,-1.403244734,0.099483766,-0.460912526,-4.167826176,-0.0196133
1677685712.1792736,1677685712.1787338,11.7744112,0.806619525,,,,,,
1677685712.1864758,1677685712.1825333,,,-0.068067841,-1.200786471,0,-0.460912526,-4.167826176,-0.0196133
1677685712.1908598,1677685712.1875317,,,-0.143116996,-1.150171995,0.017453292,-0.215746298,-7.511893749,-0.039226599
1677685712.198441,1677685712.1925294,,,-0.265290052,-1.096066713,-0.064577185,-0.215746298,-7.511893749,-0.039226599
1677685712.2005513,1677685712.1975276,,,-0.253072739,-1.090830803,-0.205948845,-0.215746298,-7.511893749,-0.039226599
1677685712.2005265,1677685712.1987395,10.39732361,0.806619525,,,,,,
1677685712.2030244,1677685712.2025251,,,-0.143116996,-0.989601672,-0.148352981,-1.775003552,-12.36618519,0.30400613
1677685712.2075303,1677685712.2075233,,,-0.001745329,-0.966912389,-0.256563395,-1.08853817,-13.85679626,0.313812792
1677685712.2129793,1677685712.212522,,,0.167551607,-1.007054925,-0.301941961,-1.08853817,-13.85679626,0.313812792
1677685712.2182364,1677685712.2175193,,,0.321140587,-0.963421762,-0.178023577,-0.71588546,-11.21880722,0.696272135
1677685712.2200804,1677685712.2187145,9.03844738,0.806619525,,,,,,
1677685712.222624,1677685712.2225177,,,0.415388346,-1.034980297,-0.258308738,-0.71588546,-11.21880722,0.696272135
1677685712.227997,1677685712.2275152,,,0.350811183,-1.012290955,-0.205948845,0.392265975,-5.795730114,0.88259846
1677685712.2331429,1677685712.2325134,,,0.216420829,-1.021017551,-0.17453292,0.392265975,-5.795730114,0.88259846
1677685712.2373765,1677685712.237511,,,0.073303826,-1.064650893,-0.157079637,1.382737637,-4.138406277,0.470719188
1677685712.2392488,1677685712.238682,11.67724514,0.792967975,,,,,,
1677685712.2426467,1677685712.2425094,,,-0.08726646,-0.987856328,-0.033161256,1.382737637,-4.138406277,0.470719188
1677685712.248151,1677685712.2475069,,,-0.205948845,-0.90931654,0.104719758,1.500417471,-8.443525314,1.098344803
1677685712.2533312,1677685712.252505,,,-0.233874112,-0.980875015,0.137881011,1.500417471,-8.443525314,1.098344803
1677685712.2584448,1677685712.2575026,,,-0.254818082,-0.977384388,0.172787592,-0.049033247,-13.1997509,0.823758602
1677685712.2604609,1677685712.2587209,11.05598068,0.792967975,,,,,,
1677685712.2639468,1677685712.2625008,,,-0.226892799,-0.979129732,0.239110112,-0.049033247,-13.1997509,0.823758602
1677685712.2676554,1677685712.2674992,,,-0.178023577,-1.041961551,0.237364769,-1.147377968,-13.94505596,0.215746298
1677685712.2748406,1677685712.272497,,,-0.169296935,-1.04719758,0.205948845,-1.147377968,-13.94505596,0.215746298
1677685712.277899,1677685712.2774951,,,-0.122173049,-1.066396117,0.263544708,-2.039783239,-11.29726028,0.039226599
1677685712.279827,1677685712.2787375,9.279443741,0.792967975,,,,,,
1677685712.2828767,1677685712.2824926,,,-0.073303826,-1.197295904,0.158824965,-2.039783239,-11.29726028,0.039226599
1677685712.288199,1677685712.287491,,,-0.073303826,-1.219985127,0.075049154,-1.873070121,-8.149326324,0.637432218
1677685712.2924864,1677685712.2924895,,,-0.031415924,-1.169370532,0.116937056,-1.873070121,-8.149326324,0.637432218
1677685712.297452,1677685712.2974868,,,-0.005235988,-1.267109036,0.02617994,-1.333704352,-5.550563812,0.18632634
1677685712.2991896,1677685712.2986836,11.89316463,0.779641807,,,,,,
1677685712.3029225,1677685712.3024843,,,-0.055850536,-1.267109036,0.122173049,-1.333704352,-5.550563812,0.18632634
1677685712.3098922,1677685712.3074827,,,-0.061086524,-1.200786471,0.15358898,-1.108151436,-6.658715248,0.362846047
1677685712.3125782,1677685712.312481,,,-0.054105207,-1.23743844,0.134390354,-1.108151436,-6.658715248,0.362846047
1677685712.318088,1677685712.3174784,,,-0.109955743,-1.148426652,0.235619441,-1.098344803,-11.17958069,-0.029419949
1677685712.3197842,1677685712.3187146,11.17876339,0.779641807,,,,,,
1677685712.3228233,1677685712.3224769,,,-0.054105207,-1.094321489,0.15358898,-1.098344803,-11.17958069,-0.029419949
1677685712.3280814,1677685712.327474,,,0.08726646,-1.07337749,0.116937056,-1.382737637,-16.37710571,-0.088259846
1677685712.332658,1677685712.3324726,,,0.1134464,-1.052433491,0.001745329,-1.382737637,-16.37710571,-0.088259846
1677685712.3394065,1677685712.33747,,,0.198967531,-1.050688148,-0.062831849,-1.588677287,-14.95514107,-0.411879301
1677685712.3401,1677685712.3387241,8.29887104,0.779641807,,,,,,
1677685712.3451364,1677685712.3424685,,,0.277507335,-1.094321489,-0.130899698,-1.588677287,-14.95514107,-0.411879301
1677685712.348124,1677685712.3474667,,,0.249582082,-1.120501399,-0.239110112,-1.01989162,-9.64974308,0.029419949
1677685712.3544455,1677685712.3524642,,,0.169296935,-1.139699936,-0.165806279,-1.01989162,-9.64974308,0.029419949
1677685712.3601139,1677685712.3574626,,,0.104719758,-1.157153249,-0.118682384,0.294199497,-4.079566479,-0.127486452
1677685712.3610494,1677685712.358752,11.92331886,0.76680088,,,,,,
1677685712.3625703,1677685712.36246,,,-0.073303826,-1.169370532,-0.024434609,0.294199497,-4.079566479,-0.127486452
1677685712.368591,1677685712.3674586,,,-0.197222203,-1.153662682,0.12042772,1.520030737,-3.80498004,-0.058839899
1677685712.3733268,1677685712.3724558,,,-0.185004905,-1.118756056,0.260054052,1.520030737,-3.80498004,-0.058839899
1677685712.3784504,1677685712.3774543,,,-0.230383456,-1.134464025,0.396189749,1.66713047,-8.414105415,0.588398993
1677685712.379659,1677685712.378703,11.17736435,0.76680088,,,,,,
1677685712.383505,1677685712.3824518,,,-0.169296935,-1.08384943,0.436332315,1.66713047,-8.414105415,0.588398993
1677685712.3885643,1677685712.3874497,,,-0.005235988,-1.059414864,0.490437508,1.117958069,-13.79795647,0.980664968
1677685712.3963172,1677685712.3924484,,,0.1134464,-1.021017551,0.530580103,1.117958069,-13.79795647,0.980664968
1677685712.3983316,1677685712.397446,,,0.211184844,-0.996582985,0.507890821,-0.568785667,-14.43538857,0.44129923
1677685712.4010258,1677685712.3986964,9.028801918,0.76680088,,,,,,
1677685712.403921,1677685712.4024444,,,0.335103214,-0.993092358,0.502654791,-0.568785667,-14.43538857,0.44129923
1677685712.4077287,1677685712.4074416,,,0.434586972,-1.040216208,0.436332315,-2.85373497,-12.00333977,0.323619455
1677685712.4126427,1677685712.41244,,,0.37524578,-1.048942924,0.321140587,-2.85373497,-12.00333977,0.323619455
1677685712.4177701,1677685712.4174376,,,0.38571775,-1.132718682,0.296705961,-3.481360674,-7.247114182,-0.166713044
1677685712.4194026,1677685712.4187021,12.51949596,0.754679918,,,,,,
1677685712.424479,1677685712.4224358,,,0.218166158,-1.228711843,0.104719758,-3.481360674,-7.247114182,-0.166713044
1677685712.4280477,1677685712.4274333,,,-0.075049154,-1.164134622,-0.012217305,-1.647517204,-3.80498004,-0.235359594
1677685712.4327128,1677685712.4324317,,,-0.329867214,-1.167625308,-0.094247781,-1.647517204,-3.80498004,-0.235359594
1677685712.4378135,1677685712.437429,,,-0.568977356,-1.127482653,-0.219911486,-0.823758602,-5.952636242,-0.402072638
1677685712.4394035,1677685712.4387274,10.34484482,0.754679918,,,,,,
1677685712.442686,1677685712.4424274,,,-0.701622367,-1.113520026,-0.130899698,-0.823758602,-5.952636242,-0.402072638
1677685712.4479077,1677685712.4474258,,,-0.685914397,-1.103048086,-0.155334309,-1.647517204,-12.130826,-0.029419949
1677685712.452993,1677685712.452423,,,-0.53407073,-1.157153249,-0.106465086,-1.647517204,-12.130826,-0.029419949
1677685712.457948,1677685712.4574215,,,-0.305432618,-1.134464025,-0.012217305,-1.549450636,-15.71025276,0.353039384
1677685712.4597385,1677685712.458923,9.633411407,0.754679918,,,,,,
1677685712.48325,1677685712.462419,,,0.003490658,-1.151917338,-0.02617994,-0.480525851,-9.473223686,0.451105893
